capture_utc,http_status,bytes,sha256,consolidation_utc,last_modified,etag,elapsed_s,archived_path,erreur
2026-09-18T22:05:00.008850+00:00,200,8942270,b958be92deaff681ce8edcb6bf77718cf1571c302fe4461587778ac32593366e,2026-09-18T22:05:00.317227Z,,,0.57,data/raw/dynamique/2026-09-18/220500.csv.gz,
2026-09-18T22:10:00.001688+00:00,200,8942126,ccba3596457adc7f0f07950381c9bbe07191ff5d0f497598298121e7c1c160b1,2026-09-18T22:10:00.344368Z,,,0.60,data/raw/dynamique/2026-09-18/221000.csv.gz,
2026-09-18T22:15:00.002495+00:00,200,8942086,1c73b6f527bad6aa141e10c3e43c7a9fb070db374d0bbcae418b53b1a881e4f8,2026-09-18T22:15:00.375530Z,,,0.64,data/raw/dynamique/2026-09-18/221500.csv.gz,
2026-09-18T22:20:00.005527+00:00,200,8941975,8fa941229af3c5503f6e10f73c7c945a1c3bc3875fae19ce5a4855ef0853f0a0,2026-09-18T22:20:00.337494Z,,,0.59,data/raw/dynamique/2026-09-18/222000.csv.gz,
2026-09-18T22:25:00.005964+00:00,200,8941852,ae30d6383a10bb778e86b0447f21e8c80ab5ef5415c1277cdf725c26305e8357,2026-09-18T22:25:00.319288Z,,,0.57,data/raw/dynamique/2026-09-18/222500.csv.gz,
2026-09-18T22:30:00.006809+00:00,200,8941797,423eb83bf74e1543e866c65fff7c86b30fc5017ac0eea1969248ac8ccca23307,2026-09-18T22:30:00.405797Z,,,0.66,data/raw/dynamique/2026-09-18/223000.csv.gz,
2026-09-18T22:35:00.001713+00:00,200,8941895,0c3013c27a77ef9ca81080cba8dd4b4eceb7457ce3fb433a36897f2c80403d87,2026-09-18T22:35:00.353833Z,,,0.62,data/raw/dynamique/2026-09-18/223500.csv.gz,
2026-09-18T22:40:00.007600+00:00,200,8941746,e8bcbe05b900858af12608b2865f766fce614acad1a9b0dd41969a264fbc8ea2,2026-09-18T22:40:00.362332Z,,,0.62,data/raw/dynamique/2026-09-18/224000.csv.gz,
2026-09-18T22:45:00.005277+00:00,200,8941642,92a1322618ff3266d71ee6fb4eac597d674216bc64a8b334b87bf636e479bb77,2026-09-18T22:45:00.326237Z,,,0.58,data/raw/dynamique/2026-09-18/224500.csv.gz,
2026-09-18T22:50:00.000350+00:00,200,8941607,bc8ae890ec198af53ab191571e610dc92246afbc776c764a4412aebef0fe06de,2026-09-18T22:50:00.345854Z,,,0.61,data/raw/dynamique/2026-09-18/225000.csv.gz,
2026-09-18T22:54:59.917995+00:00,200,8941507,9aebd2b81ea2e8f08ea078dda9e354cf7da2da76e40491c4417b7e43dc79b467,2026-09-18T22:55:00.360647Z,,,0.60,data/raw/dynamique/2026-09-18/225459.csv.gz,
2026-09-18T22:59:59.994291+00:00,200,8941491,4b7f05399161e92a64749d40a8e2b88a39ec93ba8aa76df9ccb9d73408c5f120,2026-09-18T23:00:00.534097Z,,,0.71,data/raw/dynamique/2026-09-18/225959.csv.gz,
2026-09-18T23:05:00.000779+00:00,200,8942321,0a516bbffbebe784e12b40c233389ca30040f3436ed8a7672249865a2cf90ff1,2026-09-18T23:05:00.429169Z,,,0.58,data/raw/dynamique/2026-09-18/230500.csv.gz,
2026-09-18T23:09:59.999239+00:00,200,8941597,80d23b574f034c79b6a029acd05a5eb3974088af934a92657ab0868cad9fab4c,2026-09-18T23:10:00.438514Z,,,0.59,data/raw/dynamique/2026-09-18/230959.csv.gz,
2026-09-18T23:14:59.992271+00:00,200,8941659,dc62ccef4bcd7cbfc5dba4be1be56ae1106a97ceafb7bd9bdce2525838601aef,2026-09-18T23:15:00.438587Z,,,0.58,data/raw/dynamique/2026-09-18/231459.csv.gz,
2026-09-18T23:19:59.999782+00:00,200,8941669,f68b1c162641005f3b0a4eae01c067357c88eb92fcaf8ef1e9a5bd3c1ad0a8c5,2026-09-18T23:20:00.454003Z,,,0.59,data/raw/dynamique/2026-09-18/231959.csv.gz,
2026-09-18T23:24:59.867476+00:00,200,8941620,eb1b330dce57fb37b0aaced4c13e924f8c287732ed4130aa6afa02e714b8b30e,2026-09-18T23:25:00.441945Z,,,0.55,data/raw/dynamique/2026-09-18/232459.csv.gz,
