departement,classe,pdc,stations,puissance_totale_kw
76,"AC 7 a 22,9 kW",1953,797,38884.72
76,AC <= 7 kW,187,120,778.3
76,"AC > 22,9 kW",27,20,3362.0
76,DC 50 a 150 kW,265,103,22327.8
76,DC < 50 kW,25,18,640.2
76,DC >= 150 kW,461,101,107490.0
76,non classable,112,60,5591.88
77,"AC 7 a 22,9 kW",2680,848,52717.76
77,AC <= 7 kW,101,45,560.1399999523163
77,"AC > 22,9 kW",56,45,4540.0
77,DC 50 a 150 kW,329,97,21970.8
77,DC < 50 kW,210,174,5311.2
77,DC >= 150 kW,711,134,170788.0
77,non classable,68,30,4692.3
78,"AC 7 a 22,9 kW",2334,935,45702.159999999996
78,AC <= 7 kW,126,45,641.96
78,"AC > 22,9 kW",47,40,4057.0
78,DC 50 a 150 kW,222,73,15927.8
78,DC < 50 kW,68,47,1876.62
78,DC >= 150 kW,546,107,149116.0
78,non classable,76,29,1672.16
79,"AC 7 a 22,9 kW",803,384,16862.344
79,AC <= 7 kW,284,209,666.82
79,"AC > 22,9 kW",28,20,2786.8
79,DC 50 a 150 kW,88,45,5166.0
79,DC < 50 kW,17,13,406.0
79,DC >= 150 kW,164,33,40630.0
79,non classable,10,7,196.8
80,"AC 7 a 22,9 kW",836,388,17367.72
80,AC <= 7 kW,23,23,82.66
80,"AC > 22,9 kW",18,15,2313.0
80,DC 50 a 150 kW,109,48,7790.0
80,DC < 50 kW,16,16,377.0
80,DC >= 150 kW,377,67,90690.0
80,non classable,30,17,1798.0
81,"AC 7 a 22,9 kW",777,474,15836.63
81,AC <= 7 kW,16,8,67.5
81,"AC > 22,9 kW",400,399,17064.46
81,DC 50 a 150 kW,120,81,9223.2
81,DC < 50 kW,76,68,2246.4
81,DC >= 150 kW,118,55,23416.0
81,non classable,12,3,1500.0
82,"AC 7 a 22,9 kW",401,180,8726.64
82,AC <= 7 kW,35,10,195.9
82,"AC > 22,9 kW",8,8,665.0
82,DC 50 a 150 kW,73,35,5872.5
82,DC < 50 kW,17,15,415.0
82,DC >= 150 kW,211,37,51560.0
82,non classable,12,6,1286.0
83,"AC 7 a 22,9 kW",1976,772,40677.96
83,AC <= 7 kW,47,27,186.39999990463258
83,"AC > 22,9 kW",46,31,3201.0
83,DC 50 a 150 kW,175,80,13250.0
83,DC < 50 kW,62,41,1501.0
83,DC >= 150 kW,367,63,83900.0
83,non classable,62,34,4017.9
84,"AC 7 a 22,9 kW",1162,399,21595.72
84,AC <= 7 kW,37,15,116.28
84,"AC > 22,9 kW",23,20,1812.0
84,DC 50 a 150 kW,143,60,11550.0
84,DC < 50 kW,31,21,869.0
84,DC >= 150 kW,303,56,76070.0
84,non classable,28,16,1633.6
85,"AC 7 a 22,9 kW",818,357,15892.68
85,AC <= 7 kW,35,33,119.80000000000001
85,"AC > 22,9 kW",21,19,1306.7
85,DC 50 a 150 kW,165,73,14304.0
85,DC < 50 kW,21,19,543.0
85,DC >= 150 kW,227,50,61061.2
85,non classable,98,71,5671.7
86,"AC 7 a 22,9 kW",1574,899,26386.782
86,AC <= 7 kW,303,220,1133.56
86,"AC > 22,9 kW",19,13,2442.998
86,DC 50 a 150 kW,263,138,14716.66
86,DC < 50 kW,81,36,2108.32
86,DC >= 150 kW,427,119,110114.0
86,non classable,19,9,1142.66
87,"AC 7 a 22,9 kW",474,178,10092.76
87,AC <= 7 kW,5,5,15.7
87,"AC > 22,9 kW",77,74,3486.0
87,DC 50 a 150 kW,103,45,8060.0
87,DC < 50 kW,70,68,1741.0
87,DC >= 150 kW,170,37,40630.0
87,non classable,9,3,1000.0
88,"AC 7 a 22,9 kW",492,239,10209.13025
88,AC <= 7 kW,24,8,135.5
88,"AC > 22,9 kW",16,14,1095.0
88,DC 50 a 150 kW,186,79,14513.5
88,DC < 50 kW,37,29,997.0
88,DC >= 150 kW,196,62,44000.0
88,non classable,126,126,0.0
89,"AC 7 a 22,9 kW",539,231,11566.76
89,AC <= 7 kW,5,5,17.1
89,"AC > 22,9 kW",29,25,1947.0
89,DC 50 a 150 kW,157,74,11292.0
89,DC < 50 kW,50,29,1236.0
89,DC >= 150 kW,283,54,70810.0
89,non classable,18,12,1290.0
90,"AC 7 a 22,9 kW",201,83,4344.52
90,AC <= 7 kW,1,1,3.7
90,"AC > 22,9 kW",4,4,493.0
90,DC 50 a 150 kW,57,18,4740.0
90,DC < 50 kW,3,3,72.0
90,DC >= 150 kW,54,13,14960.0
90,non classable,4,1,720.0
91,"AC 7 a 22,9 kW",1472,505,26988.079999999998
91,AC <= 7 kW,159,63,578.8601
91,"AC > 22,9 kW",33,28,3678.0
91,DC 50 a 150 kW,202,75,15163.2
91,DC < 50 kW,97,65,2597.0
91,DC >= 150 kW,606,124,145735.0
91,non classable,184,159,3706.4
92,"AC 7 a 22,9 kW",2727,579,34530.44
92,AC <= 7 kW,250,100,1246.42
92,"AC > 22,9 kW",62,58,2554.0
92,DC 50 a 150 kW,76,36,6370.0
92,DC < 50 kW,141,117,3347.0
92,DC >= 150 kW,209,46,50700.0
92,non classable,70,26,1927.9
93,"AC 7 a 22,9 kW",1304,304,21217.04
93,AC <= 7 kW,86,65,241.92
93,"AC > 22,9 kW",34,33,2274.0
93,DC 50 a 150 kW,111,42,9113.0
93,DC < 50 kW,47,34,1175.0
93,DC >= 150 kW,348,75,80940.0
93,non classable,64,32,3324.5
94,"AC 7 a 22,9 kW",1733,455,25565.04
94,AC <= 7 kW,343,54,2052.3
94,"AC > 22,9 kW",27,25,2404.0
94,DC 50 a 150 kW,145,42,12600.8
94,DC < 50 kW,39,33,959.4
94,DC >= 150 kW,317,60,78360.0
